frame,player_1_x,player_1_y,player_2_x,player_2_y,far_player_x,far_player_y,ball_x,ball_y,player_3_x,player_3_y
0,49.244865,1030.1139,987.3704223632812,549.9742431640625,987.0262451171875,546.5103759765625,,,,
1,51.63762,1004.44116,986.193603515625,550.0765380859375,986.9432373046875,546.4188842773438,,,,
2,56.158173,996.8793,986.5518188476562,549.9823608398438,984.5350341796875,545.674560546875,,,,
3,56.651035,990.5857,985.189697265625,549.7042236328125,982.917236328125,545.1204223632812,,,,
4,61.545856,991.4132,985.656005859375,551.2618408203125,980.8109130859375,544.9356689453125,,,,
5,74.957016,983.20996,985.2451171875,552.5340576171875,980.9779052734375,545.4698486328125,,,,
6,90.34055,979.19763,985.1618041992188,552.6285400390625,973.7930908203125,546.3450317382812,,,,
7,101.43903,976.197,981.7215576171875,555.563720703125,984.273681640625,545.4230346679688,,,,
8,108.83146,968.2169,982.30615234375,554.9407958984375,976.2591552734375,544.3057861328125,,,,
9,117.77112,966.62976,982.1541137695312,555.1558837890625,977.782958984375,543.613525390625,,,,
10,122.77042,969.80676,981.87451171875,552.554443359375,978.8399658203125,543.7133178710938,,,,
11,128.26184,969.88495,982.716064453125,552.6265869140625,979.624267578125,544.1331176757812,,,,
12,128.32635,975.0454,983.3626098632812,553.1083374023438,981.257568359375,544.2032470703125,,,,
13,126.90397,978.0511,983.0062866210938,553.0992431640625,981.6741943359375,543.9074096679688,,,,
14,126.922,978.778,983.6010131835938,552.30615234375,981.0479736328125,544.1875610351562,,,,
15,127.04121,977.7236,984.02783203125,551.2467041015625,981.850341796875,543.2862548828125,,,,
16,127.37794,975.4964,984.17431640625,548.687744140625,982.6119384765625,543.1892700195312,,,,
17,127.27075,973.5551,983.7066650390625,550.7296142578125,983.938720703125,542.7136840820312,,,,
18,127.28602,970.44403,983.7301025390625,551.74169921875,983.942626953125,542.914306640625,,,,
19,126.84634,968.3249,983.8584594726562,552.7825927734375,983.729736328125,542.5027465820312,,,,
20,128.17088,972.0209,983.7747802734375,551.2451171875,983.6409912109375,542.3517456054688,,,,
21,128.6472,972.71466,984.0938720703125,551.318115234375,983.4403076171875,543.340087890625,,,,
22,128.59523,972.751,983.90185546875,552.00390625,982.733154296875,543.590087890625,,,,
23,128.49652,972.868,983.3717651367188,553.2073364257812,983.172607421875,542.8770141601562,,,,
24,129.71751,971.10004,983.7528076171875,551.8106689453125,983.1099853515625,543.2612915039062,,,,
25,130.05203,971.53033,983.3126220703125,551.583984375,983.259521484375,542.15478515625,,,,
26,130.96973,970.46545,982.4890747070312,552.7557373046875,983.0767822265625,543.1138916015625,,,,
27,133.69363,968.4289,982.215087890625,550.645263671875,982.4935302734375,543.3177490234375,,,,
28,144.56885,967.33014,981.8902587890625,551.37451171875,982.5777587890625,543.5590209960938,,,,
29,153.49733,967.3958,981.7736206054688,553.5518188476562,982.7132568359375,543.7053833007812,,,,
30,165.51703,965.061,981.561767578125,554.3946533203125,982.527099609375,543.8519897460938,,,,
31,182.20602,963.0502,981.5491333007812,554.32421875,982.302001953125,543.7804565429688,,,,
32,192.91985,957.0962,981.181640625,552.6673583984375,981.80908203125,557.8831787109375,,,,
33,199.25058,960.7262,981.24462890625,553.6959228515625,982.0767822265625,558.2691650390625,,,,
34,205.38223,957.7853,980.8958740234375,549.6873779296875,982.1534423828125,558.328369140625,,,,
35,213.14883,963.9485,981.1009521484375,551.564697265625,982.1422119140625,544.2648315429688,,,,
36,220.40991,966.386,980.8450927734375,552.380615234375,981.8975830078125,558.6416015625,,,,
37,230.2016,967.37714,980.7859497070312,552.007568359375,981.6802978515625,560.6032104492188,,,,
38,241.10744,967.24164,980.6830444335938,552.618408203125,981.56298828125,558.7648315429688,,,,
39,258.0814,967.3105,980.512939453125,553.197509765625,981.3536376953125,558.5350341796875,,,,
40,271.354,966.1039,980.38916015625,553.3798828125,982.0516357421875,558.4172973632812,,,,
41,284.60635,965.7244,979.6887817382812,552.9901123046875,981.6685791015625,558.6370849609375,,,,
42,294.61816,966.19794,979.7467041015625,553.1341552734375,981.0452880859375,558.9077758789062,,,,
43,299.15967,966.0207,979.7750854492188,552.767822265625,980.56494140625,558.8607788085938,,,,
44,309.6961,965.90826,980.018310546875,553.7523193359375,980.5008544921875,558.6710205078125,,,,
45,316.70087,965.7447,980.25830078125,554.1510009765625,980.5262451171875,558.7083740234375,,,,
46,322.03885,965.1088,980.02734375,553.4006958007812,980.4566650390625,558.741455078125,,,,
47,324.3659,965.1977,980.3421020507812,554.6455078125,980.1590576171875,558.78662109375,,,,
48,331.1913,965.7432,980.406005859375,555.4844970703125,979.816162109375,559.3858032226562,,,,
49,331.6319,965.4243,980.6621704101562,555.0828857421875,980.185791015625,559.6166381835938,,,,
50,332.96356,966.3389,980.7103271484375,554.4974365234375,980.7906494140625,559.6734619140625,,,,
51,334.6532,966.96606,980.3470458984375,555.885986328125,980.072998046875,559.3760375976562,,,,
52,335.14215,968.2544,980.4159545898438,556.27099609375,979.3255615234375,559.0410766601562,,,,
53,337.5269,966.45355,980.4072875976562,556.1709594726562,979.5478515625,558.8793334960938,,,,
54,337.47403,967.0412,980.5032958984375,556.3892211914062,979.7127685546875,558.7842407226562,,,,
55,339.4018,963.83405,980.5609741210938,556.223876953125,980.1318359375,558.6358642578125,,,,
56,346.91083,960.44025,980.6546630859375,556.2691040039062,980.1751708984375,557.6104736328125,,,,
57,353.18564,957.84894,980.8385009765625,555.335693359375,980.2188720703125,553.4004516601562,,,,
58,359.35236,955.1076,980.9703369140625,555.2974853515625,980.5863037109375,544.783203125,,,,
59,362.87582,954.92236,980.9234619140625,555.4866943359375,980.6046142578125,544.7119140625,,,,
60,365.92407,954.6614,981.1901245117188,554.523193359375,980.6455078125,544.3580322265625,,,,
61,371.41483,955.5901,981.314453125,553.6709594726562,980.6820068359375,544.1427001953125,,,,
62,374.5044,956.1192,981.3603515625,554.052978515625,980.7491455078125,544.1400756835938,,,,
63,376.72333,956.7634,981.5440063476562,552.8109130859375,981.0169677734375,544.0562133789062,,,,
64,379.7475,956.9705,981.7506103515625,552.16552734375,980.9390869140625,543.8748168945312,,,,
65,380.32684,956.79706,981.8463134765625,550.6123046875,981.078857421875,544.2347412109375,,,,
66,376.23343,955.84424,981.8731079101562,547.8494873046875,981.315185546875,544.0142211914062,,,,
67,373.7962,955.6522,981.9552001953125,548.936279296875,981.4727783203125,544.1149291992188,,,,
68,373.2408,955.76935,982.0834350585938,549.1832275390625,981.7169189453125,544.0564575195312,,,,
69,374.47586,956.1806,982.2628173828125,547.83056640625,982.3262939453125,544.2990112304688,,,,
70,376.72818,954.0857,983.1727294921875,550.589599609375,983.301025390625,546.0023803710938,,,,
71,363.87622,954.5277,983.817626953125,551.6275024414062,984.501220703125,545.1202392578125,,,,
72,367.3246,957.5936,983.9229736328125,551.787841796875,983.06787109375,544.116455078125,533.1590576171875,577.7657470703125,,
73,375.4827,955.5067,984.134765625,551.63525390625,983.258056640625,544.0475463867188,518.8953247070312,573.442138671875,,
74,396.8159,959.9824,984.4143676757812,550.8079833984375,983.2510986328125,543.72314453125,,,,
75,409.20157,963.5491,984.5545654296875,549.5986328125,983.196533203125,543.650146484375,,,,
76,418.37204,964.50854,985.2627563476562,549.732666015625,983.6685791015625,543.57861328125,,,,
77,429.58615,963.1481,985.981201171875,550.0047607421875,984.4322509765625,543.6856079101562,,,,
78,436.89334,962.1511,985.6802368164062,549.1903686523438,984.8984375,543.89990234375,,,,
79,442.0651,961.3457,986.2826538085938,550.186767578125,985.086669921875,543.5075073242188,,,,
80,456.76703,923.1593,986.6200561523438,550.2442626953125,985.3658447265625,543.6282348632812,390.58184814453125,622.453857421875,,
81,468.11188,957.4243,986.8060913085938,550.289794921875,986.0653076171875,544.4196166992188,371.34637451171875,638.94873046875,,
82,471.7497,964.5544,986.9930419921875,549.8043823242188,986.5474853515625,547.2777709960938,,,,
83,475.07016,960.2174,987.8281860351562,550.700439453125,986.6192626953125,550.7393798828125,,,,
84,476.82895,951.2558,988.2274169921875,550.3753662109375,987.619873046875,549.3564453125,,,,
85,484.82687,962.8268,988.7931518554688,549.5521240234375,988.46728515625,549.5353393554688,656.5838623046875,299.24481201171875,,
86,489.23297,973.15137,989.039306640625,550.4129638671875,989.0225830078125,547.080810546875,,,,
87,514.4223,973.40564,989.519287109375,550.874267578125,989.7747802734375,546.5826416015625,656.496826171875,299.2998352050781,,
88,516.1111,976.09607,989.7595825195312,548.6317138671875,989.875244140625,549.1544799804688,656.570068359375,299.2137451171875,,
89,516.64325,975.30554,991.0491943359375,551.8387451171875,990.2701416015625,552.241943359375,656.49267578125,299.0979309082031,,
90,515.50964,969.2221,991.7407836914062,553.800537109375,991.522216796875,550.325927734375,656.545166015625,299.1629638671875,,
91,520.40576,963.8887,992.1580810546875,554.071533203125,992.6302490234375,554.0375366210938,656.4749755859375,299.12359619140625,,
92,522.8419,962.43933,992.599365234375,551.8405151367188,993.60595703125,550.28955078125,656.53466796875,299.2374267578125,,
93,525.2803,962.58813,993.5328979492188,552.8253173828125,994.0535888671875,555.606689453125,656.58984375,299.19598388671875,,
94,526.9272,963.9872,994.3355712890625,551.4336547851562,994.68798828125,552.2286987304688,656.671630859375,299.2010192871094,,
95,528.9443,964.8822,995.0504150390625,551.190673828125,995.137939453125,551.235595703125,656.6160888671875,299.2901611328125,,
96,530.04144,966.82983,995.9979858398438,550.731689453125,996.24267578125,553.570068359375,656.7479248046875,299.3570251464844,,
97,531.1863,967.0322,996.53515625,552.3580322265625,996.7012939453125,556.2919921875,656.6251831054688,299.3505554199219,,
98,531.93945,969.1301,996.8521728515625,551.6654052734375,997.5137939453125,555.2440795898438,656.7119140625,299.3481750488281,,
99,532.1992,968.89,996.8448486328125,552.4278564453125,997.0693359375,543.9365234375,656.6768798828125,299.3124694824219,,
100,533.6724,969.48376,997.7677001953125,552.73681640625,997.40576171875,543.8876342773438,656.7784423828125,299.2476806640625,,
101,534.5546,972.41296,998.3333129882812,552.8536376953125,997.4840087890625,543.9651489257812,656.6866455078125,299.31353759765625,,
102,537.14844,973.33044,998.131591796875,552.57177734375,997.47216796875,544.1505737304688,656.716796875,299.3131103515625,,
103,539.5012,974.4225,999.244140625,553.6887817382812,997.864990234375,544.0969848632812,,,,
104,539.3388,978.7488,1000.5626220703125,552.436279296875,997.916748046875,544.20654296875,656.6304931640625,299.220947265625,,
105,540.3146,984.70935,1001.923095703125,551.6085205078125,998.0146484375,544.2791748046875,,,,
106,542.20074,985.94446,1001.7526245117188,551.2137451171875,998.8775634765625,543.4803466796875,,,,
107,542.9929,985.38684,1002.3964233398438,550.394775390625,1002.183349609375,551.566162109375,656.7429809570312,299.1653137207031,,
108,545.4917,985.2528,1002.8077392578125,550.6231689453125,1001.820556640625,552.3295288085938,921.989990234375,500.9424133300781,,
109,548.0134,985.4109,1002.568603515625,552.0565795898438,1002.032470703125,552.779541015625,656.51416015625,299.4411926269531,,
