frame,player_1_x,player_1_y,player_2_x,player_2_y,ball_x,ball_y,player_3_x,player_3_y
0,49.244865,1030.1139,987.3704223632812,549.9742431640625,,,,
1,51.63762,1004.44116,986.193603515625,550.0765380859375,,,,
2,56.158173,996.8793,986.5518188476562,549.9823608398438,,,,
3,56.651035,990.5857,985.189697265625,549.7042236328125,,,,
4,61.545856,991.4132,985.656005859375,551.2618408203125,,,,
5,74.957016,983.20996,985.2451171875,552.5340576171875,,,,
6,90.34055,979.19763,985.1618041992188,552.6285400390625,,,,
7,101.43903,976.197,981.7215576171875,555.563720703125,,,,
8,108.83146,968.2169,982.30615234375,554.9407958984375,,,,
9,117.77112,966.62976,982.1541137695312,555.1558837890625,,,,
10,122.77042,969.80676,981.87451171875,552.554443359375,,,,
11,128.26184,969.88495,982.716064453125,552.6265869140625,,,,
12,128.32635,975.0454,983.3626098632812,553.1083374023438,,,,
13,126.90397,978.0511,983.0062866210938,553.0992431640625,,,,
14,126.922,978.778,983.6010131835938,552.30615234375,,,,
15,127.04121,977.7236,984.02783203125,551.2467041015625,,,,
16,127.37794,975.4964,984.17431640625,548.687744140625,,,,
17,127.27075,973.5551,983.7066650390625,550.7296142578125,,,,
18,127.28602,970.44403,983.7301025390625,551.74169921875,,,,
19,126.84634,968.3249,983.8584594726562,552.7825927734375,,,,
20,128.17088,972.0209,983.7747802734375,551.2451171875,,,,
21,128.6472,972.71466,984.0938720703125,551.318115234375,,,,
22,128.59523,972.751,983.90185546875,552.00390625,,,,
23,128.49652,972.868,983.3717651367188,553.2073364257812,,,,
24,129.71751,971.10004,983.7528076171875,551.8106689453125,,,,
25,130.05203,971.53033,983.3126220703125,551.583984375,,,,
26,130.96973,970.46545,982.4890747070312,552.7557373046875,,,,
27,133.69363,968.4289,982.215087890625,550.645263671875,,,,
28,144.56885,967.33014,981.8902587890625,551.37451171875,,,,
29,153.49733,967.3958,981.7736206054688,553.5518188476562,,,,
30,165.51703,965.061,981.561767578125,554.3946533203125,,,,
31,182.20602,963.0502,981.5491333007812,554.32421875,,,,
32,192.91985,957.0962,981.181640625,552.6673583984375,,,,
33,199.25058,960.7262,981.24462890625,553.6959228515625,,,,
