frame,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,player_4_x,player_4_y,ball_x,ball_y,far_player_x,far_player_y,player_5_x,player_5_y
0,553.7323,882.51306,1063.821044921875,249.9964599609375,370.6322021484375,403.2603454589844,571.6593017578125,877.9248657226562,535.6237182617188,725.224609375,1065.371,250.71655,,
1,555.4477,883.4176,1063.882080078125,250.03428649902344,,,,,525.486572265625,712.644775390625,1065.3516,250.6737,,
2,555.44275,883.7531,1063.898681640625,250.02247619628906,,,,,,,1065.3479,250.68213,,
3,553.54834,884.08136,1064.017333984375,250.03216552734375,,,,,504.72625732421875,666.9111938476562,1065.3381,250.66739,,
4,551.87195,883.68494,1064.0435791015625,250.10545349121094,,,,,499.29876708984375,637.59375,1065.2927,250.68704,,
5,554.90686,884.12006,1064.283203125,250.06004333496094,,,,,,,1065.2052,250.64847,,
6,551.9402,883.15045,1064.24267578125,250.13987731933594,,,,,495.8188171386719,575.1383666992188,1065.1875,250.66699,,
7,551.98083,883.8212,1064.291259765625,250.16065979003906,,,,,495.97540283203125,546.956787109375,1065.2041,250.67792,,
8,552.08264,882.1807,1064.320068359375,250.1549835205078,,,,,495.86627197265625,518.3990478515625,1065.2002,250.6398,,
9,552.8928,883.7694,1063.936279296875,250.1971435546875,,,,,496.11749267578125,491.8133544921875,1065.1685,250.66226,,
10,554.01184,883.3836,1063.96728515625,250.2062530517578,,,,,497.1427001953125,466.87939453125,1065.1572,250.70505,,
11,554.9841,882.109,1064.314208984375,250.17466735839844,,,,,497.44769287109375,443.99554443359375,1065.062,250.7236,,
12,560.37714,883.20795,1064.68212890625,250.1560516357422,,,,,499.61761474609375,422.91925048828125,1065.1116,250.81625,,
13,563.9724,883.3372,1065.014892578125,249.97911071777344,,,,,500.7027587890625,402.15655517578125,1065.0591,250.7655,,
14,566.8225,884.7896,1065.0318603515625,249.9086151123047,,,,,502.28436279296875,383.61163330078125,1064.9355,250.66806,,
15,580.8004,883.43854,1065.177978515625,250.02090454101562,,,,,504.10382080078125,367.6334533691406,1064.7407,250.72519,,
16,578.5597,883.2129,1065.0152587890625,250.459716796875,,,,,506.02783203125,353.14849853515625,1064.6531,250.95197,,
