frame,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,player_4_x,player_4_y,ball_x,ball_y,far_player_x,far_player_y,player_5_x,player_5_y
0,553.7323,882.51306,1063.821044921875,249.9964599609375,370.6322021484375,403.2603454589844,571.6593017578125,877.9248657226562,535.4698486328125,725.794921875,1065.3389,250.22458,,
1,555.4477,883.4176,1063.882080078125,250.03428649902344,,,,,525.486572265625,712.644775390625,1065.3645,250.22116,,
2,555.44275,883.7531,1063.898681640625,250.02247619628906,,,,,,,1065.3616,250.22159,,
3,553.54834,884.08136,1064.017333984375,250.03216552734375,,,,,504.72625732421875,666.9111938476562,1065.3472,250.20819,,
4,551.87195,883.68494,1064.0435791015625,250.10545349121094,,,,,499.29876708984375,637.59375,1065.3264,250.22879,,
5,554.90686,884.12006,1064.283203125,250.06004333496094,,,,,,,1065.2395,250.21994,,
6,551.9402,883.15045,1064.24267578125,250.13987731933594,,,,,495.8188171386719,575.1383666992188,1065.2241,250.24838,,
7,551.98083,883.8212,1064.291259765625,250.16065979003906,,,,,495.97540283203125,546.956787109375,1065.2488,250.25943,,
8,552.08264,882.1807,1064.320068359375,250.1549835205078,,,,,495.86627197265625,518.3990478515625,1065.1875,250.24542,,
9,552.8928,883.7694,1063.936279296875,250.1971435546875,,,,,496.11749267578125,491.8133544921875,1065.0483,250.22784,,
10,554.01184,883.3836,1063.96728515625,250.2062530517578,,,,,497.1427001953125,466.87939453125,1065.0874,250.25949,,
11,554.9841,882.109,1064.314208984375,250.17466735839844,,,,,497.44769287109375,443.99554443359375,1065.0234,250.28409,,
12,560.37714,883.20795,1064.68212890625,250.1560516357422,,,,,499.61761474609375,422.91925048828125,1064.9695,250.31009,,
13,563.9724,883.3372,1065.014892578125,249.97911071777344,,,,,500.7027587890625,402.15655517578125,1064.6865,250.41193,,
14,566.8225,884.7896,1065.0318603515625,249.9086151123047,,,,,502.28436279296875,383.61163330078125,1064.6921,250.32788,,
15,580.8004,883.43854,1065.177978515625,250.02090454101562,,,,,504.10382080078125,367.6334533691406,1064.7834,250.2709,,
16,578.5597,883.2129,1065.0152587890625,250.459716796875,,,,,506.02783203125,353.14849853515625,1064.8391,250.27414,,
17,583.5649,884.107,1065.4537353515625,250.1818389892578,,,,,508.57415771484375,340.22625732421875,1064.8503,250.11728,,
18,583.4751,884.2654,1065.513427734375,249.76463317871094,,,,,511.01263427734375,328.59814453125,1064.7389,250.1907,,
19,576.23474,884.2021,1065.291259765625,249.6269989013672,,,,,513.845458984375,321.47967529296875,1065.042,250.12494,,
20,581.92847,882.6552,1065.798583984375,249.78382873535156,,,,,516.4888916015625,312.10162353515625,1065.5498,250.2427,,
21,582.7117,884.4432,1066.7762451171875,249.86773681640625,,,,,519.2726440429688,305.95025634765625,1066.3221,250.19547,,
