frame,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,far_player_x,far_player_y,player_4_x,player_4_y,ball_x,ball_y,player_5_x,player_5_y
0,591.4311,886.64984,1066.711181640625,250.7373504638672,1615.8966064453125,282.1441650390625,1069.739,252.41087,,,,,,
1,593.007,887.12036,1066.40966796875,250.79847717285156,1616.6136474609375,281.18829345703125,1069.8667,252.46405,,,,,,
2,594.3604,887.64716,1065.7515869140625,251.07215881347656,1617.547119140625,280.9287109375,1069.9797,252.83148,,,,,,
3,595.63416,888.70795,1065.3568115234375,250.6195526123047,1618.1077880859375,280.7187194824219,1068.8818,253.09842,,,,,,
4,595.2607,888.2619,1065.382080078125,250.8321533203125,1618.3201904296875,281.27716064453125,1068.4423,253.19884,,,,,,
5,596.41504,887.6739,1065.3359375,251.07723999023438,1618.5172119140625,280.9215087890625,1068.6077,253.33623,,,,,,
6,596.8191,888.1053,1065.393310546875,251.99815368652344,1618.86083984375,279.6278076171875,1068.4836,253.29832,,,,,,
7,597.31067,888.04254,1065.243408203125,251.32928466796875,1618.8662109375,281.0869140625,1067.4958,252.5316,,,,,,
8,597.7597,887.66205,1065.3365478515625,250.7381134033203,1619.246826171875,280.5069580078125,1067.5686,252.71986,,,,,,
9,598.14404,888.84357,1065.316650390625,250.47328186035156,1620.2197265625,280.30291748046875,1067.3752,253.14632,,,,,,
10,597.97986,888.44196,1065.330810546875,250.4402618408203,1620.463623046875,281.4879455566406,1067.2225,253.13179,,,,,,
11,597.8978,888.2377,1065.304443359375,250.2190399169922,1621.2242431640625,283.130859375,1067.1653,252.95488,,,,,,
12,598.2946,889.6219,1065.42578125,250.14788818359375,1621.594482421875,282.13311767578125,1067.1233,252.44977,,,,,,
13,598.9739,890.0296,1065.5654296875,250.24855041503906,1622.1968994140625,282.4582214355469,1066.8912,252.24884,,,,,,
14,599.40045,890.2996,1065.7154541015625,250.10142517089844,,,1066.7949,253.10292,,,,,,
15,599.2612,891.07,1066.200927734375,250.02186584472656,,,1066.8789,253.10011,,,,,,
16,600.17065,890.91345,1066.160888671875,250.00086975097656,,,1066.9751,253.20174,,,,,,
17,600.251,890.5269,1066.1712646484375,250.283935546875,,,1067.1155,252.97002,,,,,,
18,600.3022,890.38434,1066.410400390625,250.2296905517578,,,1067.0618,253.10168,,,,,,
19,600.79517,890.70013,1066.56640625,249.2706298828125,,,1067.415,252.22893,,,,,,
20,601.1261,890.89056,1067.005859375,249.22445678710938,,,1067.2173,252.77068,,,,,,
21,601.72424,891.0769,1067.052001953125,249.3863525390625,,,1067.3585,253.07062,,,,,,
22,601.6868,891.1755,1066.9788818359375,249.5320587158203,,,1067.4111,253.10957,,,,,,
23,601.796,891.78394,1066.995361328125,248.9556427001953,1644.9539794921875,286.8273010253906,1067.2522,252.44637,,,,,,
24,601.72754,891.6424,1067.0040283203125,247.93881225585938,1646.67919921875,287.36572265625,1067.1145,252.3352,1646.7275390625,287.95556640625,,,,
25,601.8627,891.98456,1066.980224609375,248.58897399902344,1648.0986328125,287.08197021484375,1066.9204,252.62463,1648.0286865234375,287.66192626953125,,,,
26,601.9425,891.7104,1066.729736328125,248.70172119140625,1648.762939453125,287.050537109375,1066.2346,252.60455,,,,,,
27,602.06116,891.77014,1066.863525390625,248.3274688720703,,,1065.646,252.66815,,,,,,
28,602.1448,892.0446,1066.37255859375,248.228271484375,,,1065.3179,252.43166,,,,,,
29,602.5121,892.41144,1066.134765625,248.35679626464844,,,1064.9387,252.59615,,,,,,
30,602.3948,891.7277,1065.772705078125,247.91001892089844,,,1064.3777,252.08093,,,,,,
31,602.1806,891.3479,1064.6156005859375,247.51345825195312,,,1063.9558,252.57288,,,,,,
32,601.85315,890.5558,1064.1483154296875,247.17916870117188,,,1063.8354,252.32587,,,,,,
33,601.4679,890.82587,1064.0,247.6318359375,1670.1060791015625,289.9642333984375,1063.6833,252.2732,,,,,,
34,600.38434,891.3591,1064.012451171875,248.5002899169922,1670.4305419921875,289.15771484375,1063.3799,252.09528,,,,,,
35,599.31555,891.90985,1063.183349609375,248.3133087158203,1671.9560546875,289.15155029296875,1063.4023,252.1743,,,,,,
36,598.14966,892.12067,1062.628173828125,248.3898468017578,,,1063.2012,252.0096,,,,,,
37,598.18506,892.3795,1062.3260498046875,247.9499053955078,,,1063.5889,250.12267,,,,,,
38,597.843,892.05597,1061.43994140625,247.63014221191406,,,1062.9812,249.82579,,,,,,
39,597.3425,892.0152,1061.2327880859375,247.76829528808594,,,1063.3735,250.37508,,,,,,
