frame,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,player_4_x,player_4_y,ball_x,ball_y,player_5_x,player_5_y
0,553.7323,882.51306,1063.821044921875,249.9964599609375,370.6322021484375,403.2603454589844,571.6593017578125,877.9248657226562,535.5731201171875,724.6170043945312,,
1,555.4477,883.4176,1063.882080078125,250.03428649902344,,,,,525.5235595703125,712.5611572265625,,
2,555.44275,883.7531,1063.898681640625,250.02247619628906,,,,,,,,
3,553.54834,884.08136,1064.017333984375,250.03216552734375,,,,,504.71258544921875,666.9136352539062,,
4,551.87195,883.68494,1064.0435791015625,250.10545349121094,,,,,499.320068359375,637.5223388671875,,
5,554.90686,884.12006,1064.283203125,250.06004333496094,,,,,,,,
6,551.9402,883.15045,1064.24267578125,250.13987731933594,,,,,495.8188171386719,575.1383666992188,,
7,551.98083,883.8212,1064.291259765625,250.16065979003906,,,,,495.97540283203125,546.956787109375,,
8,552.08264,882.1807,1064.320068359375,250.1549835205078,,,,,495.86627197265625,518.3990478515625,,
9,552.8928,883.7694,1063.936279296875,250.1971435546875,,,,,496.11749267578125,491.8133544921875,,
10,554.01184,883.3836,1063.96728515625,250.2062530517578,,,,,497.1427001953125,466.87939453125,,
11,554.9841,882.109,1064.314208984375,250.17466735839844,,,,,497.44769287109375,443.99554443359375,,
12,560.37714,883.20795,1064.68212890625,250.1560516357422,,,,,499.61761474609375,422.91925048828125,,
13,563.9724,883.3372,1065.014892578125,249.97911071777344,,,,,500.7027587890625,402.15655517578125,,
14,566.8225,884.7896,1065.0318603515625,249.9086151123047,,,,,502.28436279296875,383.61163330078125,,
15,580.8004,883.43854,1065.177978515625,250.02090454101562,,,,,504.10382080078125,367.6334533691406,,
16,578.5597,883.2129,1065.0152587890625,250.459716796875,,,,,506.02783203125,353.14849853515625,,
17,583.5649,884.107,1065.4537353515625,250.1818389892578,,,,,508.57415771484375,340.22625732421875,,
18,583.4751,884.2654,1065.513427734375,249.76463317871094,,,,,511.01263427734375,328.59814453125,,
19,576.23474,884.2021,1065.291259765625,249.6269989013672,,,,,513.845458984375,321.47967529296875,,
20,581.92847,882.6552,1065.798583984375,249.78382873535156,,,,,516.4888916015625,312.10162353515625,,
21,582.7117,884.4432,1066.7762451171875,249.86773681640625,,,,,519.2726440429688,305.95025634765625,,
22,582.9862,885.1427,1067.690673828125,249.1642303466797,,,,,521.9199829101562,302.9320373535156,,
23,581.2865,883.0506,1067.4364013671875,250.18528747558594,1712.883544921875,286.079345703125,,,525.3580322265625,301.40557861328125,,
24,580.47144,883.3914,1068.297607421875,249.88197326660156,,,,,528.4747924804688,302.10601806640625,,
25,581.9392,882.0452,1068.5234375,250.6636505126953,1715.265625,282.92974853515625,,,531.8560180664062,303.828857421875,,
26,588.876,880.772,1068.93115234375,250.5165252685547,1717.201416015625,286.6651611328125,,,535.739013671875,308.0673522949219,,
27,593.76416,879.8555,1068.57275390625,250.42726135253906,1718.74560546875,281.525390625,,,538.5427856445312,314.55804443359375,,
28,594.51465,876.8555,1067.49462890625,250.8039093017578,1718.9586181640625,286.1701354980469,,,542.76171875,323.75079345703125,,
29,622.4066,871.9785,1067.6513671875,250.84185791015625,1720.620849609375,282.44219970703125,,,545.93359375,333.65576171875,,
30,623.2367,882.6729,1067.879150390625,250.8977508544922,,,,,550.2274780273438,345.8597412109375,,
31,588.79614,877.23785,1067.657470703125,250.68417358398438,,,,,554.153564453125,359.174560546875,,
32,583.51184,863.2745,1067.6719970703125,250.22128295898438,,,,,559.3914184570312,376.0634765625,,
33,582.5407,847.2944,1067.42333984375,249.56141662597656,,,,,562.623779296875,392.4043273925781,,
34,583.51294,850.2708,1067.88525390625,249.9351348876953,,,,,567.347900390625,412.13885498046875,,
35,582.19714,833.96783,1068.0068359375,249.61276245117188,,,,,571.9695434570312,431.691162109375,,
36,575.37933,837.0562,1068.1043701171875,249.37203979492188,,,,,626.4251708984375,403.74468994140625,,
37,565.6267,830.16284,1068.455810546875,250.1583709716797,,,,,679.2526245117188,374.68780517578125,,
38,557.0304,821.8466,1067.594970703125,250.5784149169922,,,,,721.6209106445312,352.5858154296875,,
39,547.66956,818.59973,1067.6170654296875,249.9459228515625,,,,,755.7951049804688,338.60711669921875,,
40,539.49677,814.3034,1066.333251953125,250.32110595703125,,,,,785.195068359375,327.72796630859375,,
41,547.70935,819.80664,1065.7003173828125,252.03086853027344,,,,,811.2825317382812,320.5672302246094,,
42,563.01544,834.6512,1066.098876953125,251.1968536376953,,,,,,,,
43,573.91284,838.5826,1065.80224609375,252.13966369628906,,,,,849.2303466796875,309.04608154296875,,
44,581.3695,839.2187,1065.174560546875,252.6515350341797,,,,,866.2615356445312,307.3531799316406,,
45,587.47375,839.42816,1065.0633544921875,252.83413696289062,,,,,,,,
46,587.747,839.1595,1065.198486328125,252.13206481933594,,,,,,,,
47,576.0634,841.8794,1065.273193359375,252.2694854736328,,,,,,,,
48,578.54333,839.03986,1064.803466796875,252.322265625,,,,,,,,
49,595.0228,839.57416,1064.954833984375,251.3164825439453,,,,,926.8082885742188,309.9981689453125,,
50,598.6023,837.18536,1064.2481689453125,252.84425354003906,,,,,,,,
51,608.14404,834.435,643.985107421875,834.3063354492188,1064.265625,252.34176635742188,,,,,,
52,617.7062,831.4074,1064.821044921875,253.7255401611328,637.055419921875,831.4581909179688,,,,,,
53,628.38995,831.71893,1063.514892578125,252.87918090820312,,,,,,,,
54,637.78534,833.8068,1062.72314453125,251.92808532714844,,,,,,,,
55,659.124,835.10345,1062.4990234375,251.67672729492188,,,,,963.597412109375,259.6468811035156,,
56,660.8513,835.9819,1061.349609375,251.7970733642578,,,,,969.9761962890625,249.65805053710938,,
57,663.64404,838.5619,1058.9686279296875,251.94859313964844,,,,,,,,
58,666.4488,838.5282,1059.4453125,251.44041442871094,,,,,978.0213623046875,234.1058349609375,,
59,669.9945,842.6453,1055.917236328125,251.5543212890625,,,,,981.7799072265625,228.3800048828125,,
60,670.33154,844.61816,1059.9227294921875,251.44432067871094,,,,,986.0496826171875,222.91043090820312,,
61,672.4519,845.43866,1056.906005859375,251.26524353027344,,,,,989.7685546875,218.42750549316406,,
62,675.06854,845.38495,1053.2337646484375,251.65306091308594,1059.2926025390625,251.74673461914062,,,,,,
63,681.0161,844.1413,1051.72705078125,251.8358917236328,,,,,,,,
64,686.07526,838.30414,1052.5511474609375,252.14263916015625,1780.872314453125,297.35418701171875,,,,,,
65,692.8038,838.0214,1051.17919921875,251.49037170410156,,,,,,,,
66,697.6494,837.89124,1049.12841796875,250.98834228515625,,,,,,,,
67,704.8993,845.4998,1046.697998046875,250.37319946289062,1783.6944580078125,297.8130187988281,,,699.3414306640625,608.7985229492188,,
68,711.58466,854.035,1045.7861328125,252.62750244140625,1784.704833984375,296.2692565917969,,,,,,
69,719.56055,861.9976,1044.6922607421875,252.93594360351562,1785.7056884765625,295.68426513671875,1785.2198486328125,294.9529724121094,,,,
70,728.38074,875.95013,1043.6746826171875,252.46994018554688,,,,,,,,
71,735.6865,881.52325,1041.55615234375,251.8872528076172,,,,,,,,
72,743.21484,892.5031,1039.6534423828125,251.40719604492188,,,,,,,,
73,747.9755,898.92267,1037.86376953125,253.1854705810547,,,,,,,,
74,748.9741,903.674,1035.7828369140625,254.7597198486328,,,,,,,,
75,752.2355,904.6524,1034.0281982421875,255.33851623535156,1792.34033203125,297.4464111328125,,,934.7898559570312,228.84130859375,,
76,749.2389,904.4799,1033.4722900390625,255.758056640625,1793.6898193359375,297.92767333984375,,,925.087646484375,236.39743041992188,,
77,741.8573,909.3902,1031.15478515625,253.6326141357422,,,,,915.3499145507812,244.66236877441406,,
78,732.47217,912.13873,1026.9478759765625,252.1017303466797,,,,,,,,
79,728.49634,920.6292,1023.1239013671875,251.96873474121094,,,,,892.2205810546875,265.5060119628906,,
80,725.7583,928.72595,1019.8313598632812,253.2073211669922,,,,,,,,
81,721.1644,936.34827,1017.334716796875,252.40887451171875,,,,,866.9520874023438,293.36627197265625,,
82,714.6105,936.33966,1013.79248046875,252.97311401367188,,,,,852.6292114257812,309.4554443359375,,
83,697.558,934.38226,1011.2952270507812,252.4500732421875,,,,,838.8470458984375,331.29473876953125,,
84,678.5162,934.6357,1013.9662475585938,254.4268341064453,,,,,822.4257202148438,351.68408203125,,
85,664.0458,936.2608,1006.0316162109375,253.8186798095703,,,,,806.0262451171875,375.4405517578125,,
86,641.558,935.2868,1003.4185791015625,254.24395751953125,,,,,787.8025512695312,401.3621520996094,,
87,633.64087,937.14996,1001.562744140625,250.80409240722656,,,,,769.4371337890625,431.96173095703125,,
88,629.0688,946.41046,997.6631469726562,250.04408264160156,,,,,749.8148193359375,464.9737548828125,,
89,621.3556,952.35956,995.7400512695312,250.55699157714844,,,,,728.909423828125,501.44854736328125,,
90,621.4748,955.2087,994.7700805664062,250.78829956054688,,,,,706.6552734375,543.040283203125,,
91,609.8668,963.2493,992.41845703125,249.98391723632812,,,,,683.0671997070312,586.3666381835938,,
92,598.6632,967.54425,990.2854614257812,250.10752868652344,,,,,667.4277954101562,585.7131958007812,,
93,592.64026,968.101,987.9874267578125,250.46937561035156,,,,,650.9215087890625,585.278076171875,,
94,572.5989,967.14,985.8365478515625,251.43731689453125,,,,,633.6068115234375,586.4976806640625,,
95,587.53143,967.2385,986.5433349609375,249.88243103027344,,,,,615.4052124023438,590.5281982421875,,
96,587.90857,966.4056,982.0595703125,251.10250854492188,,,,,596.3701171875,595.795166015625,,
97,585.94324,966.2936,979.7894897460938,250.1579132080078,,,,,576.7003173828125,602.6996459960938,,
98,588.0773,967.1254,977.430419921875,250.61241149902344,,,,,555.6558837890625,612.04345703125,,
99,596.1355,966.6783,976.3465576171875,249.33985900878906,,,,,533.8433837890625,623.9409790039062,,
100,595.3119,964.8519,975.6298828125,249.59774780273438,1808.57080078125,313.3731689453125,,,510.2138366699219,638.240478515625,,
101,975.1258,249.032,598.2224731445312,966.224853515625,,,,,486.0451354980469,655.0718383789062,,
102,975.59125,247.7842,595.9541625976562,966.6533813476562,,,,,460.7731018066406,674.6696166992188,,
103,559.3515,964.0932,974.3228759765625,247.1572723388672,,,,,433.88348388671875,697.2583618164062,,
104,561.35925,959.55524,974.2442626953125,246.3069305419922,,,,,407.2525939941406,724.3572998046875,,
105,576.1112,957.61884,972.826904296875,245.9781951904297,,,,,451.3001403808594,667.156982421875,,
106,571.6039,950.87115,972.885009765625,246.5708770751953,,,,,516.881103515625,591.0089721679688,,
107,570.3651,945.8267,569.98681640625,945.2433471679688,972.9180908203125,246.61912536621094,,,574.4103393554688,525.7467041015625,,
108,569.44104,941.9568,971.8997192382812,244.62506103515625,,,,,625.696533203125,471.75140380859375,,
109,570.84644,940.1988,971.9379272460938,245.77455139160156,,,,,670.3968505859375,427.2351379394531,,
110,573.9872,944.5468,970.4033203125,246.63111877441406,,,,,709.3441162109375,389.93280029296875,,
111,570.08044,957.3426,970.0592651367188,246.82411193847656,,,,,743.7034912109375,359.727294921875,,
112,551.52686,971.36127,970.3782348632812,246.2755889892578,,,,,773.03125,333.5141296386719,,
113,541.7041,981.6332,970.5377807617188,245.7007598876953,,,,,800.083251953125,311.4967956542969,,
114,541.4909,988.7684,970.0767822265625,245.6682586669922,,,,,823.81591796875,294.9098205566406,,
115,540.61707,990.9844,971.4347534179688,245.3044891357422,,,,,844.2723388671875,280.65277099609375,,
116,546.03296,987.60846,972.5931396484375,244.63316345214844,,,,,863.6357421875,268.70538330078125,,
117,553.484,992.0275,975.2645874023438,245.8022918701172,,,,,880.8585815429688,259.21759033203125,,
118,563.52856,991.3742,976.70947265625,246.8835906982422,984.1126098632812,246.96144104003906,,,896.4344482421875,251.0217742919922,,
119,570.1553,989.46344,986.5523071289062,244.7429962158203,980.6987915039062,245.4397430419922,,,909.1093139648438,245.17874145507812,,
120,589.30176,990.1624,987.8895263671875,244.97206115722656,,,,,922.9474487304688,241.05836486816406,,
121,598.81696,978.4754,989.9561157226562,244.63929748535156,984.625244140625,245.54530334472656,,,,,,
122,605.7145,977.3615,991.3364868164062,242.94493103027344,,,,,945.1240234375,236.5224151611328,,
123,616.1365,971.6336,995.6204223632812,244.97836303710938,,,,,955.2026977539062,235.56884765625,,
124,633.3787,974.45874,997.4945068359375,243.71255493164062,,,,,964.1605224609375,235.7808074951172,,
125,637.69934,977.0834,999.033935546875,249.2660675048828,,,,,971.7020874023438,235.97073364257812,,
126,643.85834,975.3272,1000.9637451171875,248.2566375732422,,,,,979.0755004882812,237.71258544921875,,
127,653.0259,975.3415,1004.24853515625,247.9525909423828,,,,,,,,
128,661.8688,974.6391,1006.9339599609375,247.17042541503906,,,,,,,,
129,670.1346,972.35614,1012.1441040039062,249.8923797607422,,,,,,,,
130,679.322,966.9271,1012.8099975585938,250.75474548339844,,,,,,,,
131,691.12103,966.4361,1016.2035522460938,250.64857482910156,1808.7755126953125,321.1344299316406,,,,,,
132,703.0231,967.58386,1017.3468017578125,250.27500915527344,1808.2734375,323.3497619628906,,,,,,
133,716.9183,958.44696,1019.557373046875,250.21609497070312,1020.1693725585938,252.1251983642578,1808.2474365234375,323.7261047363281,1019.8084716796875,266.18310546875,,
134,736.05975,957.1061,1021.4390869140625,249.3123779296875,1808.4873046875,322.4676818847656,,,1025.016845703125,269.8600769042969,,
135,745.86755,953.2287,1022.2931518554688,249.5243682861328,,,,,1029.202880859375,276.1290588378906,,
136,764.86725,951.3987,1022.0987548828125,249.0498046875,,,,,,,,
137,776.5343,950.99945,1023.3325805664062,249.53843688964844,1808.11083984375,323.1792297363281,,,,,,
138,781.0979,946.5328,1023.8087768554688,249.6854705810547,1807.501708984375,323.621826171875,,,,,,
139,784.46893,949.5978,1026.939453125,250.2726287841797,1807.275146484375,322.7395324707031,,,,,,
140,785.432,958.6684,1026.532470703125,250.13616943359375,1031.302734375,248.87791442871094,,,,,,
141,789.7942,966.3505,,,,,,,,,,
142,791.78766,971.2297,1032.740234375,247.47171020507812,,,,,,,,
143,791.5655,972.0208,1031.985107421875,249.1065673828125,,,,,,,,
144,792.41,970.02985,,,,,,,,,,
145,791.4501,969.7209,1033.3311767578125,248.75543212890625,,,,,,,,
146,790.6528,968.17523,1034.1138916015625,248.6363525390625,,,,,,,,
147,789.50757,967.9627,1033.92236328125,248.2121124267578,,,,,,,,
148,788.61676,969.66534,1033.8009033203125,248.51046752929688,,,,,,,,
